,State,Week,Babesiosis,Campylobacteriosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Enterobacter spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Klebsiella spp.",Chlamydia trachomatis infection,Coccidioidomycosis,Cryptosporidiosis,"Dengue Virus Infections, Dengue","Dengue Virus Infections, Severe Dengue","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Hepatitis (viral, acute, by type), A","Hepatitis (viral, acute, by type), B","Hepatitis (viral, acute, by type), C, Confirmed","Hepatitis (viral, acute, by type), C, Probable","Invasive Pneumococcal Disease, Age LT 5, Confirmed","Invasive Pneumococcal Disease, Age LT 5, Probable","Invasive Pneumococcal Disease, all ages, Confirmed","Invasive Pneumococcal Disease, all ages, Probable",Legionellosis,Malaria,"Meningococcal disease, all serogroups",Mumps,Pertussis,"Rabies, animal",Rubella,"Rubella, congenital syndrome",Salmonellosis (excluding Paratyphoid fever andTyphoid fever),Shiga toxin-producing Escherichia coli,Shigellosis,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Tetanus,Varicella morbidity,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable","West Nile virus disease, Neuroinvasive","West Nile virus disease, Nonneuroinvasive","Zika virus disease, non-congenital",Person-to-Person Contact,Airborne Transmission,Droplet Spread,Vector-Borne Transmission,Vehicle-Borne Transmission,Population_Density(km²),GDP per capita,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,Mining and Logging,Construction,Manufacturing,"Trade, Transporation and Utilities",Information,Financial Activities,Professional and Business Services,Educational and Health services,Leisure and Hospitality,Other Services,Government
201,ALASKA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.4982,63610,-17.8583,-20.7813,-14.9352,0,4056,3,14,496,6547,98,11,3,1,12700,15900,12500,64300,5600,11800,27100,50400,35600,11000,80400
202,ARIZONA,5,0,4,0,0,0,445,188,0,0,0,0,0,0,0,2,142,4,0,0,0,0,0,0,21,2,0,1,0,0,4,0,0,0,4,2,3,0,0,0,0,9,0,0,0,0,0,613,192,31,10,15,24.2052,39583,4.7322,-3.243,12.7074,0,1187,1,48,1154,4799,213,7,1,3,13100,158800,170100,534500,47400,220800,431100,445700,326600,92700,415200
203,ARKANSAS,5,0,3,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,13,4,12,2,13,22.3967,36714,6.308,-0.2576,12.8735,0,4280,1,74,433,2272,33,44,47,4,6000,50600,160500,251500,11200,60500,146200,191200,118600,53400,212200
204,CALIFORNIA,5,0,28,0,0,0,448,19,0,0,0,0,0,0,0,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,634,19,0,0,40,98.4741,60359,5.5731,0.5294,10.6167,20,14431,275,287,2646,9884,120,45,26,199,22900,859600,1325400,3051600,543700,836300,2663700,2726500,1986100,572100,2587400
205,COLORADO,5,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,126,0,0,6,0,21.1601,54026,-1.7214,-8.0593,4.6165,16,3617,1,34,1435,5368,13,18,2,0,28300,172300,147600,469800,74900,170500,425600,340600,339900,110800,445000
206,CONNECTICUT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,285.9964,62633,0.8349,-3.8016,5.4714,0,1507,104,8,788,1480,180,37,1,8,500,58600,160300,296500,31900,126100,220500,334900,157700,65400,236700
207,DELAWARE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191.8949,63955,6.0798,0.0988,12.0607,0,322,16,11,70,424,43,9,0,2,0,22300,27100,80100,4100,47500,63600,80100,51500,18600,66400
208,FLORIDA,5,0,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,309,13,0,0,0,0,1,0,18,0,0,0,1,0,9,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,1454,9,42,8,3,152.5898,39842,15.6067,9.3733,21.84,0,4190,60,5,4027,2942,1104,10,0,4,5800,540900,372000,1780900,139700,29700,167700,130800,1227100,354400,1112500
209,GEORGIA,5,0,6,0,0,0,414,0,3,0,0,0,0,0,0,2,163,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,590,1,9,0,17,70.3122,45925,8.0822,-0.1018,16.2661,0,2874,7,21,800,5643,468,5,1,4,9500,196200,408000,943000,114600,576700,1366800,1305300,490600,159300,693800
210,HAWAII,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7465,52869,20.6834,17.279,24.0877,0,745,318,152,75,560,14,62,1,4,0,36100,14200,122600,9100,248200,692400,584500,123900,28000,125600
211,IDAHO,5,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,0,15,8.1836,36441,-2.4184,-6.5514,1.7146,0,4220,46,56,362,2016,19,19,0,1,3500,49100,68200,142500,8900,28800,82500,85800,78500,25500,124900
212,ILLINOIS,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,88.6923,55102,2.2644,-2.1383,6.667,0,2504,19,35,1312,9098,17,14,7,7,7800,225800,588300,1216100,94400,36400,94200,105600,617300,254400,826300
213,INDIANA,5,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,467,0,0,2,1,72.1204,46427,1.8516,-2.1009,5.804,0,2848,29,18,941,2701,65,51,1,179,6200,141300,542000,597500,29400,401800,951400,934000,309500,131800,429700
214,IOWA,5,0,13,0,0,0,82,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,27,21.8421,52284,-0.2603,-4.494,3.9735,0,965,3,2,797,3461,27,22,1,0,2500,77500,223000,312600,22000,138700,342700,475200,143600,57500,260700
215,KANSAS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7731,47435,3.037,-4.2727,10.3466,0,3745,0,1,101,2376,9,1,7,0,6800,61100,165100,268700,18700,109100,141000,234700,129700,50900,256200
216,KENTUCKY,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,43.4644,39277,4.2104,-1.1815,9.6022,0,2410,0,22,228,11872,27,10,1,3,10000,78100,252100,403800,22000,77100,180000,199500,197600,65600,313700
217,LOUISIANA,5,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,41.5024,44372,10.1775,3.533,16.8219,0,2073,7,45,1324,4124,299,4,1,1,35900,151100,134900,379500,22900,93000,217400,278300,236100,73900,327600
218,MAINE,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,3,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,4,2,5,9,10,16.7840,39521,-4.3642,-9.1009,0.3726,0,2203,248,6,1547,2049,515,93,8,14,2200,28900,52000,119100,7300,91100,213000,315500,68300,22200,100100
219,MARYLAND,5,0,16,0,0,0,461,0,1,0,0,0,0,0,0,4,68,1,0,1,0,0,0,0,19,0,1,4,0,1,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,553,2,21,4,32,240.1581,56375,5.3102,-0.3807,11.0011,0,2796,32,14,166,2035,219,12,0,7,1300,163100,108300,467400,36500,31900,69300,127200,281500,114700,504600
220,MASSACHUSETTS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.6000,66500,0.3777,-4.1042,4.8596,0,1237,114,6,2803,4102,393,6,1,9,1100,157200,244100,579400,91500,144400,451000,471500,373000,138900,454500
221,MICHIGAN,5,0,1,0,0,0,190,0,0,0,0,0,0,0,0,2,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,234,0,0,2,6,67.9108,44201,-1.4185,-4.9731,2.1361,0,5147,44,7,6968,4598,219,46,0,2,7200,169200,629800,791400,55800,221500,583900,797900,433600,166600,606500
222,MINNESOTA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2961,54805,-3.9254,-8.0712,0.2204,0,3117,2,5,8783,1944,152,69,0,0,6700,122500,321400,537000,49300,219000,660600,679000,272800,113600,425500
223,MISSISSIPPI,5,0,2,0,0,0,403,0,0,0,0,0,0,0,0,0,179,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,584,0,2,0,6,24.5519,32447,7.9594,0.4785,15.4403,0,3703,2,237,586,5885,46,68,3,23,6900,43700,144900,231100,11000,184100,378100,543400,135500,41300,241300
224,MISSOURI,5,0,5,0,0,0,228,1,0,0,0,0,0,0,0,3,249,2,0,1,0,0,1,0,14,0,1,0,0,2,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,497,6,21,0,16,34.3913,43036,4.3559,-1.5409,10.2526,0,2373,1,33,1002,4585,130,10,0,3,4400,122500,272800,543700,50500,44400,109800,145000,305900,115500,433700
225,MONTANA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,3,1,2.8180,39833,-2.8834,-7.4174,1.6507,58,5695,2,21,2087,9493,48,25,23,0,7200,28600,20500,94800,6300,173300,386500,478800,66000,18900,90400
226,NEBRASKA,5,0,3,0,0,0,53,0,1,0,0,0,0,0,0,1,15,2,0,1,0,0,0,0,3,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,73,3,8,3,7,9.7065,54654,-0.4863,-5.8549,4.8824,0,2611,36,46,229,9328,542,9,10,8,1100,52300,99700,201300,17700,24900,42700,77200,92200,36800,173500
227,NEVADA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7465,44812,-0.5759,-6.2133,5.0615,0,705,0,5,810,599,25,11,5,1,14500,89700,55500,255500,15600,73900,119200,155600,353400,42000,161000
228,NEW HAMPSHIRE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1468,52509,-2.4636,-6.5943,1.6671,0,3674,5,6,1101,1460,71,3,1,1,1000,26900,70500,139300,12400,68200,190600,140600,72100,25400,90000
229,NEW JERSEY,5,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,7,0,0,470.2172,56776,3.0249,-2.8981,8.9479,0,782,23,5,865,1675,73,66,0,3,1400,157900,247400,888100,69700,34400,83200,125800,387200,171500,600500
230,NEW MEXICO,5,0,2,0,0,0,67,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,9,0,2,6.6517,41619,1.8561,-7.5044,11.2165,0,1047,41,0,369,1394,68,17,0,6,24500,47200,27000,137600,11900,250500,672300,708200,98000,28900,186800
231,NEW YORK,5,0,19,0,0,0,913,0,2,0,0,1,0,0,0,11,194,4,3,0,1,1,0,0,18,0,6,3,1,2,4,8,0,0,0,3,4,0,0,16,0,0,0,0,0,0,0,1147,12,29,12,60,162.4294,65220,-1.0414,-5.7889,3.7062,0,7030,1,183,826,1936,14,36,6,1,5400,398400,443100,1563000,275200,34200,106400,139700,957800,413600,1488900
232,NORTH CAROLINA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,82.3563,44706,7.6138,-0.0324,15.26,0,3739,23,44,220,2335,21,13,14,4,5800,219500,474200,833300,80000,719100,1340700,2064600,502600,154300,733000
233,NORTH DAKOTA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2275,64311,-4.4111,-9.2059,0.3838,0,6071,138,23,3337,4422,417,64,1,16,20700,25900,25900,94200,6200,239600,634500,611600,40200,15200,82500
234,OHIO,5,0,17,0,0,0,602,2,14,0,0,0,0,0,0,19,199,3,1,2,2,0,0,1,24,2,11,1,0,0,12,0,0,0,0,11,8,0,0,0,0,11,0,0,0,0,0,840,25,42,12,74,110.2698,48188,2.2044,-1.9427,6.3515,0,4957,12,51,361,4244,83,28,0,20,12200,219300,698900,1024300,70800,24300,34600,63700,566400,213700,779200
235,OKLAHOMA,5,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,68,0,1,0,7,22.1568,44535,7.7452,-0.6393,16.1296,0,1102,2,6,199,3347,7,2,0,0,53100,80300,137700,299200,19900,307900,731200,936100,171900,71500,347800
236,OREGON,5,0,6,0,0,0,375,0,5,0,0,0,0,0,0,4,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,469,0,1,0,22,16.8907,51312,1.575,-1.5686,4.7186,37,7769,51,143,1810,12052,179,35,17,7,7300,104800,194900,352200,34200,79200,190400,236300,210700,64500,295000
237,PENNSYLVANIA,5,0,18,0,0,0,1043,0,5,0,0,0,0,0,0,2,265,4,0,0,0,2,0,0,11,0,0,0,0,1,3,0,0,0,0,1,0,0,0,9,0,6,0,0,0,0,0,1330,4,19,6,37,110.4802,51841,1.201,-3.5479,5.9499,0,4765,5,100,525,7039,206,34,0,7,28600,255800,569400,1126800,85800,102000,249000,295100,571600,260400,702900
238,RHODE ISLAND,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,2,0,392.2098,48314,1.6593,-3.1557,6.4743,0,493,93,6,256,288,65,2,0,6,200,19200,40300,77400,5900,325500,804500,1274800,58700,23100,61000
239,SOUTH CAROLINA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,8,0,0,0,9,65.2576,37637,7.6525,-1.0716,16.3765,0,1896,25,11,461,3676,515,7,0,2,4400,102500,247800,406300,28200,35400,68500,106500,260300,76800,369000
240,SOUTH DAKOTA,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,4.4662,48004,-1.5015,-6.6317,3.6288,0,1631,1,17,508,1490,30,4,1,5,1000,22900,44400,86800,5600,104200,292900,252900,47300,16800,79600
241,TENNESSEE,5,0,5,0,0,0,148,0,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,230,1,23,0,8,63.5357,44348,4.923,-1.6814,11.5274,0,3320,4,15,408,9850,44,15,2,6,4400,124800,350700,627200,45500,29200,32600,72800,338900,118300,435500
242,TEXAS,5,0,25,0,0,0,3372,0,6,0,0,0,0,0,0,0,1226,8,1,2,0,2,2,0,38,0,2,0,2,1,13,0,0,0,0,2,10,0,0,36,0,0,1,1,0,0,0,4688,16,64,0,86,42.3336,53737,10.5478,3.3591,17.7365,0,8308,25,27,1847,11463,204,9,7,17,246500,739100,881100,2485300,204100,162500,416900,435600,1355600,433500,1951800
243,UTAH,5,0,0,0,0,0,139,0,1,0,0,0,0,0,0,1,29,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,171,0,2,0,9,14.8499,45943,-2.785,-8.761,3.1911,1,1985,9,124,864,2429,11,16,45,31,9400,104100,133100,285800,38600,776900,1732900,1696800,149400,41200,247900
244,VERMONT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,0,26.0450,44831,-2.8472,-6.5424,0.848,0,4166,31,14,110,7303,150,13,0,9,800,15100,29800,54300,4300,87700,215100,204200,37500,10200,56400
245,VIRGINIA,5,0,16,0,0,0,854,0,2,0,0,0,1,0,0,5,227,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1087,1,1,2,29,83.1382,52124,5.8606,-1.2228,12.944,1,701,2,2,436,1251,46,144,0,1,7900,197400,240100,659700,67200,12100,28900,66100,407800,201100,722500
246,WASHINGTON,5,0,0,0,0,0,590,0,0,0,0,0,0,0,0,1,130,0,0,1,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,737,7,7,1,18,43.6939,59333,1.6316,-0.8064,4.0695,185,4420,60,71,2970,6296,135,30,6,35,6300,213600,287900,637700,133900,207400,748600,541100,342600,122100,586700
247,WEST VIRGINIA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.9131,37353,2.9293,-2.3116,8.1702,0,858,1,6,19,8574,6,11,0,2,22600,41100,47100,130000,8200,158000,425300,491800,74000,24300,152600
248,WISCONSIN,5,0,7,0,0,0,351,0,0,0,0,0,0,0,0,1,118,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,491,0,19,1,12,41.3619,48666,-2.5184,-6.6494,1.6126,0,2985,20,10,5265,3148,125,16,0,14,4800,122200,475500,543200,47300,29100,68900,128200,282600,152300,407800
249,WYOMING,5,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2.2813,61091,-5.2259,-10.8962,0.4444,37,2785,0,39,1249,5194,15,8,2,0,20700,20300,9800,52000,3600,152900,326800,456100,36100,16400,68900
250,ALABAMA,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,8,37.1993,37508,8.8129,2.5309,15.0949,666,1282,116,188,3367,9303,9,7,5,1,10000,89100,267100,380700,21100,96400,244000,245300,205900,96700,385900
251,ALASKA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.4982,63610,-17.2043,-21.1725,-13.236,0,4056,3,14,496,6547,98,11,3,1,12700,15900,12500,64300,5600,11800,27100,50400,35600,11000,80400
252,ARIZONA,6,0,8,0,0,0,334,185,0,0,0,0,0,0,0,3,85,3,1,0,0,0,2,0,15,0,0,0,0,0,11,0,0,0,6,0,4,0,0,2,0,6,0,0,0,0,0,442,196,31,6,24,24.2052,39583,8.9394,0.0197,17.859,0,1187,1,48,1154,4799,213,7,1,3,13100,158800,170100,534500,47400,220800,431100,445700,326600,92700,415200
253,ARKANSAS,6,0,8,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,18,0,13,0,18,22.3967,36714,6.3023,-0.9481,13.5526,0,4280,1,74,433,2272,33,44,47,4,6000,50600,160500,251500,11200,60500,146200,191200,118600,53400,212200
254,CALIFORNIA,6,0,41,0,0,0,435,19,0,0,0,0,0,0,0,4,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,640,19,0,0,54,98.4741,60359,10.3673,3.6559,17.0786,20,14431,275,287,2646,9884,120,45,26,199,22900,859600,1325400,3051600,543700,836300,2663700,2726500,1986100,572100,2587400
255,COLORADO,6,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,719,0,0,9,1,21.1601,54026,0.6484,-5.4242,6.7209,16,3617,1,34,1435,5368,13,18,2,0,28300,172300,147600,469800,74900,170500,425600,340600,339900,110800,445000
256,CONNECTICUT,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,285.9964,62633,-0.6843,-5.6166,4.2481,0,1507,104,8,788,1480,180,37,1,8,500,58600,160300,296500,31900,126100,220500,334900,157700,65400,236700
257,DELAWARE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,191.8949,63955,3.7024,-1.3,8.7048,0,322,16,11,70,424,43,9,0,2,0,22300,27100,80100,4100,47500,63600,80100,51500,18600,66400
258,FLORIDA,6,0,51,0,0,0,1208,0,5,0,0,0,0,0,0,12,315,0,4,12,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,15,0,0,4,0,0,0,1,0,0,1,1560,2,0,1,117,152.5898,39842,16.8985,11.6276,22.1693,0,4190,60,5,4027,2942,1104,10,0,4,5800,540900,372000,1780900,139700,29700,167700,130800,1227100,354400,1112500
259,GEORGIA,6,0,4,0,0,0,464,0,5,0,0,0,0,0,0,6,175,2,0,1,0,0,2,0,17,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,662,2,21,0,20,70.3122,45925,8.6443,2.2901,14.9985,0,2874,7,21,800,5643,468,5,1,4,9500,196200,408000,943000,114600,576700,1366800,1305300,490600,159300,693800
260,HAWAII,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7465,52869,20.1128,15.8485,24.3771,0,745,318,152,75,560,14,62,1,4,0,36100,14200,122600,9100,248200,692400,584500,123900,28000,125600
261,IDAHO,6,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,10,8.1836,36441,-0.2592,-4.1641,3.6457,0,4220,46,56,362,2016,19,19,0,1,3500,49100,68200,142500,8900,28800,82500,85800,78500,25500,124900
262,ILLINOIS,6,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,88.6923,55102,1.0879,-4.663,6.8387,0,2504,19,35,1312,9098,17,14,7,7,7800,225800,588300,1216100,94400,36400,94200,105600,617300,254400,826300
263,INDIANA,6,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,471,0,0,1,3,72.1204,46427,1.826,-3.6181,7.27,0,2848,29,18,941,2701,65,51,1,179,6200,141300,542000,597500,29400,401800,951400,934000,309500,131800,429700
264,IOWA,6,0,18,0,0,0,74,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,88,0,0,0,30,21.8421,52284,-2.9142,-9.2438,3.4154,0,965,3,2,797,3461,27,22,1,0,2500,77500,223000,312600,22000,138700,342700,475200,143600,57500,260700
265,KANSAS,6,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1,0,2,13.7731,47435,3.2286,-4.9527,11.4099,0,3745,0,1,101,2376,9,1,7,0,6800,61100,165100,268700,18700,109100,141000,234700,129700,50900,256200
266,KENTUCKY,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,0,4,43.4644,39277,4.373,-1.9285,10.6745,0,2410,0,22,228,11872,27,10,1,3,10000,78100,252100,403800,22000,77100,180000,199500,197600,65600,313700
